Plant_Name,PrimSource,Total_MW,latitude,longitude
Flat Ridge Wind Energy LLC,wind,50.00000000000,37.37640000000,-98.45830000000
OREG 2 Inc,other,22.00000000000,48.21420000000,-104.39750000000
Pennsauken Solar,solar,1.50000000000,39.98940000000,-75.04000000000
Cumberland County Solid Waste Complex,biomass,4.80000000000,39.44940000000,-75.09280000000
Cumberland County PA LFG Recovery,biomass,6.40000000000,40.13560000000,-77.50720000000
Warren County Solar,solar,2.00000000000,40.78895700000,-75.10697000000
PPL Renewable Energy Merck Solar,solar,1.70000000000,40.72738600000,-74.37830000000
Norther Tier Landfill,biomass,1.60000000000,41.77920000000,-76.62580000000
Moretown,biomass,1.60000000000,44.31222200000,-72.71138900000
Chester Diversion Hydroelectric Project,hydroelectric,3.60000000000,44.01833300000,-111.58361100000
Ameresco Stafford,biomass,2.00000000000,38.38416700000,-77.41305600000
Ameresco Ox Mountain,biomass,10.80000000000,37.50000000000,-122.40000000000
