Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec
1400000US36047045000,36047045000,"Census Tract 450, Kings County, New York",459,352,20,0,0,0,0,0,28,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0
1400000US36047045200,36047045200,"Census Tract 452, Kings County, New York",2336,1700,42,15,0,0,0,0,78,0,0,10,103,0,0,0,0,106,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,204,0,0
1400000US36047045300,36047045300,"Census Tract 453, Kings County, New York",2173,1144,942,21,0,12,10,15,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
1400000US36047045400,36047045400,"Census Tract 454, Kings County, New York",1741,987,186,0,0,3,0,0,149,0,4,0,43,0,0,0,0,0,0,0,91,39,0,0,0,14,0,0,0,0,0,40,0,0,0,0,8,0,177,0,0
1400000US36047045600,36047045600,"Census Tract 456, Kings County, New York",2364,945,67,0,7,0,0,0,130,0,0,0,550,39,0,41,0,28,0,0,224,6,48,1,0,0,0,0,0,0,0,151,0,0,0,0,6,6,90,0,25
1400000US36047045800,36047045800,"Census Tract 458, Kings County, New York",1528,982,63,0,0,0,0,22,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,12,0,91,0,30
1400000US36047046000,36047046000,"Census Tract 460, Kings County, New York",3546,1182,72,0,0,14,0,8,24,0,19,0,422,194,0,25,0,7,0,0,1075,128,0,41,8,0,11,0,16,0,0,126,31,0,0,0,0,0,87,0,56
1400000US36047046201,36047046201,"Census Tract 462.01, Kings County, New York",2524,851,192,16,0,18,0,0,145,0,0,0,744,0,43,6,0,0,0,0,137,234,0,24,0,0,0,0,0,0,0,20,0,0,0,0,0,0,76,0,18
1400000US36047046202,36047046202,"Census Tract 462.02, Kings County, New York",1899,924,270,0,0,15,22,0,455,0,0,0,75,0,0,10,0,0,0,0,0,0,10,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,104,0,0
1400000US36047046400,36047046400,"Census Tract 464, Kings County, New York",2415,737,35,12,0,0,0,5,1145,0,0,43,56,28,19,14,0,0,0,33,94,0,6,0,0,28,0,0,0,0,0,5,0,0,0,0,6,17,132,0,0
1400000US36047046800,36047046800,"Census Tract 468, Kings County, New York",1886,845,11,15,1,19,0,7,674,0,0,0,17,0,0,0,0,0,0,0,0,0,0,32,0,17,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0
1400000US36047047000,36047047000,"Census Tract 470, Kings County, New York",2518,829,66,0,8,14,0,14,1170,0,0,0,66,5,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,61,0,235,0,0
1400000US36047047200,36047047200,"Census Tract 472, Kings County, New York",2557,911,11,5,0,0,0,0,1321,22,0,0,50,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,190,0,0
1400000US36047047400,36047047400,"Census Tract 474, Kings County, New York",2531,682,6,5,0,0,0,0,1229,0,0,0,95,39,0,21,0,0,0,0,0,0,65,12,0,0,0,0,0,0,0,28,0,0,0,0,13,0,336,0,0
1400000US36047047600,36047047600,"Census Tract 476, Kings County, New York",3346,1040,256,0,0,23,0,0,1559,0,12,0,70,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32,0,86,0,0
