Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec,ldi
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",5758,1780,3582,212,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0.5155166570732163
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",2196,858,1260,22,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0.5179171601952217
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",2862,908,1877,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0.4689565823355363
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1156,431,630,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,55,0,0.561397732306845
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",3575,2923,478,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,0,0,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0.31286263386962676
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",7062,2748,4226,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0.4904065307871913
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",4264,1074,2720,73,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,81,0,0,0,0,0,0,0,0,17,9,0,0,0,35,0,105,12,0.5275966554495246
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",3159,1551,1509,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0.5303634600528835
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",5099,1625,2906,23,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,174,0,260,0,0.5696725140319343
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",6674,1683,4180,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0.5367185547500986
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",3055,1039,1625,35,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0.5963361289614033
