Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,ORG_PT023_001,ORG_PT023_002,ORG_PT023_003,ORG_PT023_004,ORG_PT023_005,ORG_PT023_006,ORG_PT023_007,ORG_PT023_008,ORG_PT023_009,ORG_PT023_010,ORG_PT023_011,ORG_PT023_012,ORG_PT023_013,ORG_PT023_014,ORG_PT023_015,ORG_PT023_016,ORG_PT023_017,ORG_PT023_018,ORG_PT023_019,ORG_PT023_020,ORG_PT023_021,ORG_PT023_022,ORG_PT023_023,ORG_PT023_024,ORG_PT023_025,ORG_PT023_026,ORG_PT023_027,ORG_PT023_028,ORG_PT023_029
"36081047000","Census Tract 470","Census Tract 470, Queens County, New York","00","36","081","047000",2350,1860,1100,12,0,81,23,7,0,11,137,245,0,100,144,490,150,22,0,16,5,22,0,5,31,100,0,139,0
"36081047100","Census Tract 471","Census Tract 471, Queens County, New York","00","36","081","047100",2380,1554,886,52,0,69,100,0,0,22,79,117,0,85,144,826,127,72,34,114,0,28,32,14,7,238,0,160,0
"36081047200","Census Tract 472","Census Tract 472, Queens County, New York","00","36","081","047200",3033,2470,1565,18,0,81,21,0,0,190,207,42,0,182,164,563,57,6,0,77,56,0,12,35,109,32,0,179,0
"36081047300","Census Tract 473","Census Tract 473, Queens County, New York","00","36","081","047300",2970,1541,832,17,8,79,31,7,0,89,99,144,0,103,132,1429,33,30,7,152,12,9,7,12,81,667,13,385,21
"36081047500","Census Tract 475","Census Tract 475, Queens County, New York","00","36","081","047500",2755,1969,1068,12,0,114,53,0,0,20,131,65,0,55,451,786,96,0,3,138,73,14,55,0,98,160,0,143,6
"36081047600","Census Tract 476","Census Tract 476, Queens County, New York","00","36","081","047600",1301.014,1084.977,625.7011,6.000871,0.0007683927,70.00706,0.001844142,12,0,159.0027,155.0146,0.004354225,0,12.00523,45.23855,216.0369,12.20278,24.00046,0,62.61963,0.0002561309,0.00107575,0,23.00343,44.19638,6.007274,19,25.00558,0
"36081047800","Census Tract 478","Census Tract 478, Queens County, New York","00","36","081","047800",5357,4456,2493,41,0,145,69,0,7,855,240,19,0,243,344,901,91,41,0,135,61,19,25,194,119,13,7,184,12
"36081047900","Census Tract 479","Census Tract 479, Queens County, New York","00","36","081","047900",4052.95,2767.452,1677.675,57.08894,0,131.1864,77.54559,0.06670267,52.04105,25.01881,289.4669,121.0376,0,268.248,68.07697,1285.498,142.1026,39.04618,11.02394,287.2805,0.126564,0.03762715,22,7,96.33865,431.1813,27,222.3523,0.008551625
"36081048000","Census Tract 480","Census Tract 480, Queens County, New York","00","36","081","048000",1841,1414,861,14,8,121,54,11,18,12,65,96,15,35,104,427,23,7,0,57,32,0,9,7,58,147,10,77,0
"36081048100","Census Tract 481","Census Tract 481, Queens County, New York","00","36","081","048100",3814,2302,1419,14,6,108,22,15,8,135,131,112,0,151,181,1512,232,36,7,204,25,5,34,48,140,457,0,311,13
"36081048200","Census Tract 482","Census Tract 482, Queens County, New York","00","36","081","048200",1118,871,481,12,0,113,0,0,0,10,72,75,0,66,42,247,13,5,0,58,8,0,16,9,31,10,0,97,0
"36081048300","Census Tract 483","Census Tract 483, Queens County, New York","00","36","081","048300",2972,1899,862,21,0,69,33,11,0,7,265,204,0,173,254,1073,57,158,0,66,19,0,7,44,30,324,0,368,0
"36081048400","Census Tract 484","Census Tract 484, Queens County, New York","00","36","081","048400",4102,3653,2488,19,6,159,77,7,0,53,377,184,0,151,132,449,71,14,0,76,7,5,0,9,76,38,0,153,0
"36081048500","Census Tract 485","Census Tract 485, Queens County, New York","00","36","081","048500",2488,1702,1117,33,0,76,38,20,0,22,153,60,0,76,107,786,66,72,14,213,21,0,43,0,70,118,0,169,0
"36081048900","Census Tract 489","Census Tract 489, Queens County, New York","00","36","081","048900",880.8516,676.9704,511.9456,0,0,49.44229,22.13099,0.050547,0.07582051,0.04422863,16.94144,3.044229,0,34.25104,39.04423,203.8812,70.39174,7.094776,0,66.64447,16.28433,0,0.07582051,0.07582051,0.5117884,9.296964,0.03791025,33.46756,0
"36081049200","Census Tract 492","Census Tract 492, Queens County, New York","00","36","081","049200",4378.05,3618.377,2726.258,16.99913,14.99923,137.9929,35.99815,0,0,52.99728,284.9854,84.99564,0,101.9948,161.1561,759.6735,212.1261,8.999538,0,107.4329,4.999744,20.99892,0,66.99657,87.13254,141.9927,0,108.9944,0
"36081049301","Census Tract 493.01","Census Tract 493.01, Queens County, New York","00","36","081","049301",2021.148,1568.03,935.0544,0,0,69.55772,177.869,7.949453,11.92418,6.955771,148.0586,6.955771,0,196.749,6.955771,453.1188,61.60826,14.90522,0,101.3555,44.71567,0,11.92418,11.92418,80.48821,46.70304,5.96209,73.53244,0
"36081049302","Census Tract 493.02","Census Tract 493.02, Queens County, New York","00","36","081","049302",2359,2113,1312,17,0,45,115,8,0,8,348,0,0,159,101,246,48,0,0,24,8,0,6,19,70,0,0,71,0
"36081049500","Census Tract 495","Census Tract 495, Queens County, New York","00","36","081","049500",1319,1062,724,0,0,22,73,0,0,0,157,31,0,48,7,257,26,0,0,10,7,0,6,0,139,5,7,57,0
"36081049600","Census Tract 496","Census Tract 496, Queens County, New York","00","36","081","049600",2951,2711,1896,37,0,137,48,16,0,13,296,95,0,26,147,240,87,0,0,27,0,0,0,7,52,32,0,35,0
"36081049700","Census Tract 497","Census Tract 497, Queens County, New York","00","36","081","049700",2501,2091,1330,5,0,99,147,0,0,12,243,68,0,49,138,410,40,0,0,73,25,0,6,0,126,41,0,93,6
"36081049900","Census Tract 499","Census Tract 499, Queens County, New York","00","36","081","049900",3459.98,2584.782,1547.052,49.98138,0,108.0436,309.9778,37.18012,22.88007,10.99656,281.2162,21.43228,0,146.5955,49.42639,875.1979,61.73797,25.99501,14.46841,163.9441,72.48438,20.9734,1.070713,0,196.8165,104.9286,0,208.0122,4.766682
"36081050000","Census Tract 500","Census Tract 500, Queens County, New York","00","36","081","050000",3030,2598,1922,29,13,114,31,12,7,12,41,149,0,39,229,432,149,102,0,45,0,4,0,0,25,45,29,33,0
"36081050201","Census Tract 502.01","Census Tract 502.01, Queens County, New York","00","36","081","050201",1191,1031,894,0,0,9,0,3,0,0,5,25,0,0,95,160,29,12,0,5,0,0,0,0,0,72,0,42,0
"36081050202","Census Tract 502.02","Census Tract 502.02, Queens County, New York","00","36","081","050202",1310,1185,925,5,0,31,0,0,0,0,38,92,0,8,86,125,73,0,0,9,0,0,0,0,5,0,0,38,0
"36081050400","Census Tract 504","Census Tract 504, Queens County, New York","00","36","081","050400",1724,1533,1369,19,0,0,0,0,0,0,23,24,0,0,98,191,123,19,0,29,0,0,0,0,0,11,0,9,0
"36081050500","Census Tract 505","Census Tract 505, Queens County, New York","00","36","081","050500",1153.693,886.5541,524.0328,8.027051,0,20.22276,5.336383,0.004776116,0.002939149,0.02720073,144.096,7.025962,0,95.44176,82.33643,267.1394,4.237445,7.016233,0.05859246,64.4053,0.1073061,0.00269422,0.0542926,0,31.43274,67.20947,0,92.61469,0.0006123226
"36081050600","Census Tract 506","Census Tract 506, Queens County, New York","00","36","081","050600",1367,1259,1063,19,0,5,0,0,0,0,0,40,0,13,119,108,52,12,0,0,0,0,0,0,0,40,0,4,0
"36081050700","Census Tract 507","Census Tract 507, Queens County, New York","00","36","081","050700",2816.376,2033.212,1110.24,9.902629,0,81.54725,123.1403,1.748402,1.07594,9.957422,401.2209,9.504132,0,161.7147,123.1602,783.1644,86.92197,5.942574,21.44905,148.3701,39.28176,0.986278,19.87499,0,158.4122,76.68062,0,225.0208,0.2241541
"36081050800","Census Tract 508","Census Tract 508, Queens County, New York","00","36","081","050800",2711,2416,1765,0,0,7,0,0,0,0,0,0,0,13,631,295,96,144,0,0,0,0,0,0,0,25,0,30,0
"36081051000","Census Tract 510","Census Tract 510, Queens County, New York","00","36","081","051000",1530,1413,978,4,0,9,9,0,0,0,18,144,0,19,232,117,58,7,0,0,0,0,0,0,23,16,0,13,0
"36081051100","Census Tract 511","Census Tract 511, Queens County, New York","00","36","081","051100",2493.366,2216.968,1431.57,0.009261863,0.005402754,41.74828,259.5303,0.22056,0.1809597,15.0729,334.864,7.14717,0,90.59933,36.02011,276.3979,7.014665,0,0,25.5886,40.02562,30.23928,0.1657783,0.1832751,152.859,0.0858489,0,19.96972,0.2660367
"36081051200","Census Tract 512","Census Tract 512, Queens County, New York","00","36","081","051200",3219,2617,2063,8,0,34,0,0,0,31,48,216,0,34,183,602,285,126,8,18,0,0,0,19,16,123,0,7,0
"36081051300","Census Tract 513","Census Tract 513, Queens County, New York","00","36","081","051300",2336.888,2035.032,1269.396,13.99334,0,64.96909,252.8797,0,0,0,210.8996,50.97574,0,111.9467,59.97146,301.8564,38.98145,12.99382,0,60.97099,27.98668,14.99287,0,0,72.96528,23.98858,0,48.9767,0
"36081051500","Census Tract 515","Census Tract 515, Queens County, New York","00","36","081","051500",3325,2950,1765,17,0,77,201,6,16,259,322,56,0,133,98,375,39,0,0,86,32,0,0,55,52,43,0,61,7
